1	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@dap1994m-words#@dap1994m#0.512#0.758
2	э	эра	INTJ	_	_	_	_	_	@dap1994m-words#@dap1994m#0.758#1.004
3	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#1.004#1.25
4	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@dap1994m-words#@dap1994m#1.25#1.496
5	тебя	ты	PRON	_	Case=Acc|Number=Sing|Person=2	_	_	_	@dap1994m-words#@dap1994m#1.496#1.742
6	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#1.742#1.988
7	позвал	звать	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@dap1994m-words#@dap1994m#1.988#2.234
8	в	в	ADP	_	_	_	_	_	@dap1994m-words#@dap1994m#2.234#2.48
9	этот	этот	DET	_	Case=Acc|Gender=Masc|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#2.48#2.726
10	подкаст	подкаст	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#2.726#2.972
11	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#2.972#3.218
12	мн...	мн...	PROPN	_	Animacy=Anim|Case=Dat|Gender=Fem|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#3.218#3.464
13	ээ	ээ	X	_	Foreign=Yes	_	_	_	@dap1994m-words#@dap1994m#3.464#3.71
14	потому	потому	ADV	_	Degree=Pos	_	_	_	@dap1994m-words#@dap1994m#3.71#3.956
15	что	что	SCONJ	_	_	_	_	_	@dap1994m-words#@dap1994m#3.956#4.205
16	ну	ну	PART	_	_	_	_	_	@dap1994m-words#@dap1994m#4.923#5.252
17	во-первых	во-первых	ADV	_	Degree=Pos	_	_	_	@dap1994m-words#@dap1994m#5.252#5.581
18	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@dap1994m-words#@dap1994m#5.581#5.91
19	моя	мой	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#5.91#6.239
20	подруга	подруга	NOUN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#6.239#6.568
21	во-вторых	во-вторых	ADV	_	Degree=Pos	_	_	_	@dap1994m-words#@dap1994m#6.568#6.897
22	ээ	ээ	X	_	Foreign=Yes	_	_	_	@dap1994m-words#@dap1994m#6.897#7.23
23	э	э	X	_	Foreign=Yes	_	_	_	@dap1994m-words#@dap1994m#7.82#8.142
24	все	все	PRON	_	Animacy=Anim|Case=Nom|Number=Plur	_	_	_	@dap1994m-words#@dap1994m#8.142#8.464
25	остальные	остальной	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@dap1994m-words#@dap1994m#8.464#8.786
26	отказались	отказаться	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@dap1994m-words#@dap1994m#8.786#9.108
27	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#9.108#9.43
28	э	эра	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#9.43#9.752
29	#смеется#	#смеется#	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#9.752#10.076
